feature,region,region_rows,known_rows,known_share,mean_when_known,share_of_known_rows,baseline_region_share,representation_ratio
healthiness,CA,12308,586,0.04761130971725707,0.8077645051194539,0.19533333333333333,0.1785890478539714,1.0937587476979742
healthiness,NY,16871,704,0.04172840969711339,0.8104403409090909,0.23466666666666666,0.24479816593633014,0.9586128465018868
healthiness,Other states,39739,1710,0.04303077581217444,0.8218128654970761,0.57,0.5766127862096985,0.9885316691411459
local_independent,CA,12308,270,0.021936951576210596,0.9681481481481481,0.17952127659574468,0.1785890478539714,1.0052199659104266
local_independent,NY,16871,355,0.021042024776243257,0.97943661971831,0.2360372340425532,0.24479816593633014,0.9642116113890511
local_independent,Other states,39739,879,0.022119328619240545,0.9665529010238908,0.5844414893617021,0.5766127862096985,1.0135770543755451
nightlife,CA,12308,10,0.0008124796880077998,1.0,0.14285714285714285,0.1785890478539714,0.7999210734017363
nightlife,NY,16871,16,0.000948372947661668,0.96875,0.22857142857142856,0.24479816593633014,0.9337138115278119
nightlife,Other states,39739,44,0.0011072246407810966,0.9818181818181819,0.6285714285714286,0.5766127862096985,1.0901101113335945
noise,CA,12308,4941,0.4014462138446539,0.6147439789516291,0.17546164772727274,0.1785890478539714,0.9824882871358614
noise,NY,16871,6228,0.36915416987730426,0.6203837508028259,0.22116477272727272,0.24479816593633014,0.9034576377700303
noise,Other states,39739,16991,0.42756486071617306,0.6315255135071508,0.6033735795454546,0.5766127862096985,1.0464103363223443
novelty,CA,12308,544,0.04419889502762431,0.8907169117647059,0.20029455081001474,0.1785890478539714,1.1215388245632594
novelty,NY,16871,584,0.03461561258965088,0.8752568493150684,0.21502209131075112,0.24479816593633014,0.8783647969269365
novelty,Other states,39739,1588,0.03996074385364504,0.8949622166246851,0.5846833578792342,0.5766127862096985,1.0139965187428235
offers_gluten_free,CA,12308,1013,0.08230419239519011,0.5324777887462981,0.1781568765388674,0.1785890478539714,0.9975800794041
offers_gluten_free,NY,16871,1092,0.06472645367790884,0.5400183150183151,0.1920506507210693,0.24479816593633014,0.7845265097738519
offers_gluten_free,Other states,39739,3581,0.09011298724175243,0.6057246579167831,0.6297924727400633,0.5766127862096985,1.0922277268250253
offers_halal,CA,12308,1181,0.09595385115372115,0.2252328535139712,0.1664552501761804,0.1785890478539714,0.9320574367599935
offers_halal,NY,16871,2151,0.12749688815126548,0.3577405857740586,0.3031712473572939,0.24479816593633014,1.2384539165058372
offers_halal,Other states,39739,3763,0.09469287098316516,0.27874036672867397,0.5303735024665257,0.5766127862096985,0.9198087783534568
offers_kosher,CA,12308,1312,0.10659733506662333,0.11821646341463414,0.17272248551869404,0.1785890478539714,0.9671504921171072
offers_kosher,NY,16871,2129,0.1261928753482307,0.20634100516674492,0.2802790942601369,0.24479816593633014,1.1449395185952294
offers_kosher,Other states,39739,4155,0.10455723596466947,0.1430806257521059,0.5469984202211691,0.5766127862096985,0.9486408094014075
offers_vegan,CA,12308,1964,0.15957101072473187,0.3455702647657841,0.18093044679871026,0.1785890478539714,1.0131105404999605
offers_vegan,NY,16871,2692,0.15956374844407564,0.30668647845468056,0.24799631506218334,0.24479816593633014,1.0130644325443394
offers_vegan,Other states,39739,6199,0.15599285336822769,0.3322310050008066,0.5710732381391064,0.5766127862096985,0.990392949648228
offers_vegetarian,CA,12308,1919,0.1559148521286968,0.38572173006774363,0.1797153024911032,0.1785890478539714,1.006306403727807
offers_vegetarian,NY,16871,2630,0.15588880327188667,0.35007604562737643,0.2463008053942686,0.24479816593633014,1.0061382790683542
offers_vegetarian,Other states,39739,6129,0.15423135962153048,0.4055473976178823,0.5739838921146282,0.5766127862096985,0.9954407981266752
order_accuracy,CA,12308,617,0.05012999675008125,0.47260940032414916,0.13110922226944327,0.1785890478539714,0.7341392086744792
order_accuracy,NY,16871,1419,0.08410882579574418,0.36885130373502467,0.3015299617509562,0.24479816593633014,1.2317492682089028
order_accuracy,Other states,39739,2670,0.06718840433830746,0.4426779026217228,0.5673608159796005,0.5766127862096985,0.9839546217992932
outdoor,CA,12308,971,0.07889177770555736,0.8640576725025747,0.2114547038327526,0.1785890478539714,1.184029515660192
outdoor,NY,16871,850,0.05038231284452611,0.7884117647058825,0.18510452961672474,0.24479816593633014,0.7561516194727897
outdoor,Other states,39739,2771,0.0697299881728277,0.8537531577047998,0.6034407665505227,0.5766127862096985,1.046526856466668
parking,CA,12308,627,0.050942476438089045,0.6505050505050505,0.25130260521042086,0.1785890478539714,1.4071557479600085
parking,NY,16871,370,0.02193112441467607,0.575945945945946,0.14829659318637275,0.24479816593633014,0.6057912755152888
parking,Other states,39739,1498,0.03769596617932006,0.6301401869158879,0.6004008016032064,0.5766127862096985,1.0412547483552625
plant_based,CA,12308,161,0.013080922976925577,0.9037267080745341,0.2093628088426528,0.1785890478539714,1.1723160594587214
plant_based,NY,16871,205,0.012151028391915121,0.886341463414634,0.2665799739921977,0.24479816593633014,1.0889786407204243
plant_based,Other states,39739,403,0.01014117114169959,0.8883374689826302,0.5240572171651495,0.5766127862096985,0.9088546589644374
portion_size,CA,12308,3549,0.28834904127396815,0.8047759932375316,0.2002821670428894,0.1785890478539714,1.1214694823092177
portion_size,NY,16871,4117,0.24402821409519293,0.7956764634442556,0.23233634311512416,0.24479816593633014,0.9490934796282453
portion_size,Other states,39739,10054,0.2530008304184806,0.7977073801472051,0.5673814898419864,0.5766127862096985,0.9839904757777
poultry,CA,12308,93,0.0075560610984725385,0.9881720430107528,0.15843270868824533,0.1785890478539714,0.8871356367709207
poultry,NY,16871,191,0.011321202062711162,0.9832460732984294,0.32538330494037476,0.24479816593633014,1.329190125652347
poultry,Other states,39739,303,0.007624751503560734,0.9795379537953796,0.5161839863713799,0.5766127862096985,0.8952003818098784
red_meat,CA,12308,512,0.04159896002599935,0.7068359375000001,0.1924812030075188,0.1785890478539714,1.0777883936360237
red_meat,NY,16871,583,0.034556339280422024,0.61295025728988,0.21917293233082707,0.24479816593633014,0.8953209738827539
red_meat,Other states,39739,1565,0.039381967336873096,0.7030031948881788,0.5883458646616542,0.5766127862096985,1.020348280046098
repeat_visit_intent,CA,12308,1282,0.10415989600259994,0.6769890795631825,0.15355132351179782,0.1785890478539714,0.8598025766807021
repeat_visit_intent,NY,16871,2335,0.13840317704937466,0.6007922912205567,0.2796742124805366,0.24479816593633014,1.142468577780429
repeat_visit_intent,Other states,39739,4732,0.11907697727673067,0.6462595097210482,0.5667744640076656,0.5766127862096985,0.9829377314597826
reservation,CA,12308,51,0.004143646408839779,0.6784313725490196,0.17,0.1785890478539714,0.9519060773480663
reservation,NY,16871,71,0.004208404955248652,0.6591549295774648,0.23666666666666666,0.24479816593633014,0.9667828423527552
reservation,Other states,39739,178,0.004479226955887164,0.6421348314606742,0.5933333333333334,0.5766127862096985,1.0289978778194386
review_disagreement,CA,12308,224,0.018199545011374715,0.6825892857142856,0.13046010483401282,0.1785890478539714,0.7305045096644861
review_disagreement,NY,16871,606,0.03591962539268567,0.6295379537953796,0.35294117647058826,0.24479816593633014,1.4417639736826509
review_disagreement,Other states,39739,887,0.022320642190291652,0.6643179255918827,0.516598718695399,0.5766127862096985,0.8959196380142809
richness,CA,12308,53,0.004306142346441339,0.9283018867924527,0.20075757575757575,0.1785890478539714,1.1241315084547128
richness,NY,16871,62,0.0036749451721889634,0.9008064516129033,0.23484848484848486,0.24479816593633014,0.9593555733974204
richness,Other states,39739,149,0.0037494652608268957,0.93255033557047,0.5643939393939394,0.5766127862096985,0.9788092683548031
romantic,CA,12308,2139,0.17378940526486839,0.3394810659186536,0.15805808024828197,0.1785890478539714,0.8850379244841644
romantic,NY,16871,2964,0.175686088554324,0.36276990553306343,0.21902017291066284,0.24479816593633014,0.8946969519682924
romantic,Other states,39739,8430,0.21213417549510558,0.36925860023724794,0.6229217468410552,0.5766127862096985,1.0803120599107134
seafood,CA,12308,240,0.019499512512187196,0.6795833333333333,0.18518518518518517,0.1785890478539714,1.0369347247800285
seafood,NY,16871,336,0.019915831900895027,0.6244047619047619,0.25925925925925924,0.24479816593633014,1.0590735362236754
seafood,Other states,39739,720,0.018118221394599763,0.6775,0.5555555555555556,0.5766127862096985,0.963481159006965
service_sentiment,CA,12308,5918,0.48082547936301595,0.8801537681649206,0.17655131264916468,0.1785890478539714,0.9885898086736375
service_sentiment,NY,16871,8837,0.523798233655385,0.8503922899928332,0.26363365155131263,0.24479816593633014,1.0769429196617488
service_sentiment,Other states,39739,18765,0.47220614509675635,0.8720543565147882,0.5598150357995226,0.5766127862096985,0.9708682311389694
service_speed,CA,12308,4382,0.3560285992850179,0.7329073482428116,0.18461408830468487,0.1785890478539714,1.0337368977723653
service_speed,NY,16871,5288,0.31343725920218124,0.7140979576399394,0.2227839568587799,0.24479816593633014,0.9100720015881331
service_speed,Other states,39739,14066,0.3539595863006115,0.7261943694013934,0.5926019548365352,0.5766127862096985,1.0277294728962565
solo,CA,12308,1303,0.10586610334741632,0.695663852647736,0.16088405976046424,0.1785890478539714,0.9008618484377375
solo,NY,16871,1727,0.10236500503823129,0.7054140127388535,0.21323620200024695,0.24479816593633014,0.8710694427984719
solo,Other states,39739,5069,0.1275573114572586,0.6908759124087591,0.6258797382392888,0.5766127862096985,1.0854420040759785
spice,CA,12308,1604,0.13032174195645108,0.8694201995012468,0.2113863995782815,0.1785890478539714,1.183647049572311
spice,NY,16871,1773,0.10509157726275858,0.893824027072758,0.23365840801265156,0.24479816593633014,0.9544941119919341
spice,Other states,39739,4211,0.10596643096202722,0.8792685822844931,0.554955192409067,0.5766127862096985,0.9624399695625979
sweetness,CA,12308,1450,0.11780955476113097,0.6117241379310345,0.21026682134570765,0.1785890478539714,1.1773780300214072
sweetness,NY,16871,1616,0.09578566771382846,0.6242264851485149,0.23433874709976799,0.24479816593633014,0.9572732957513964
sweetness,Other states,39739,3830,0.09637887214071819,0.621644908616188,0.5553944315545244,0.5766127862096985,0.9632017271163017
takeout,CA,12308,1968,0.159896002599935,0.9036585365853659,0.18664643399089528,0.1785890478539714,1.045116910772223
takeout,NY,16871,2716,0.16098630786556814,0.931480117820324,0.25758725341426403,0.24479816593633014,1.0522433958155561
takeout,Other states,39739,5860,0.14746219079493697,0.8920477815699658,0.5557663125948407,0.5766127862096985,0.9638466677926276
transit,CA,12308,751,0.06101722456938576,0.5279627163781625,0.17220820912634716,0.1785890478539714,0.9642708284505681
transit,NY,16871,1096,0.06496354691482426,0.7292883211678832,0.2513185049300619,0.24479816593633014,1.026635571262522
transit,Other states,39739,2514,0.06326278970281084,0.6189737470167064,0.5764732859435909,0.5766127862096985,0.9997580694194721
value,CA,12308,10507,0.8536724081897953,0.8065860854668315,0.1823530432669779,0.1785890478539714,1.0210762947573597
value,NY,16871,14014,0.8306561555331634,0.7994519765948338,0.24321838282510977,0.24479816593633014,0.9935465892680289
value,Other states,39739,33098,0.8328845718311986,0.7995588857332769,0.5744285739079124,0.5766127862096985,0.9962119946799242
value_sentiment,CA,12308,1439,0.1169158271043224,0.8938498957609451,0.16935388960809697,0.1785890478539714,0.9482882161204766
value_sentiment,NY,16871,2330,0.1381068105032304,0.8906652360515022,0.27421442862186657,0.24479816593633014,1.120165372044443
value_sentiment,Other states,39739,4728,0.11897632049120511,0.897197546531303,0.5564316817700364,0.5766127862096985,0.9650005949879809
wait,CA,12308,3454,0.28063048423789405,0.5841504214115678,0.17557950386335908,0.1785890478539714,0.9831482163840576
wait,NY,16871,4471,0.2650109655622073,0.5915306046372922,0.22727734851565676,0.24479816593633014,0.9284274971846382
wait,Other states,39739,11747,0.2956038148921714,0.5921457960897818,0.5971431476209842,0.5766127862096985,1.0356051095332794
