family,old_feature,current_equivalent,status,justification
restaurant_nlp,healthy_options,llm_healthiness,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_nlp,bar_scene,llm_nightlife,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_nlp,portion_size,llm_portion_size,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_dietary,user_vegan_affinity,user_llm_plant_based + user_llm_restriction_vegan,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_dietary,user_vegetarian_affinity,user_llm_plant_based + user_llm_restriction_vegetarian,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_dietary,user_gluten_free_affinity,user_llm_restriction_gluten_free,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_dietary,user_seafood_affinity,user_llm_seafood,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_dietary,user_red_meat_affinity,user_llm_red_meat,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_dietary,user_poultry_affinity,user_llm_poultry,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_preferences,spice_affinity,user_llm_spice,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_preferences,noise_preference,user_llm_noise,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_preferences,formality_preference,user_llm_formality,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_preferences,novelty_preference,user_llm_novelty,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_preferences,family_context,user_llm_family,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_preferences,romantic_context,user_llm_romantic,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_preferences,wait_tolerance,user_llm_wait,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_preferences,value_sensitivity,user_llm_value,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_preferences,outdoor_preference,user_llm_outdoor,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_preferences,healthy_preference,user_llm_healthiness,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_preferences,bar_affinity,user_llm_nightlife,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
user_preferences,portion_preference,user_llm_portion_size,retained_or_superseded,Renamed or represented by a richer evidence-aware schema.
restaurant_dish,dish_count,dish_count,retained_or_superseded,Rebuilt from training-review dish links; excluded from the non-LLM condition.
restaurant_dish,dish_cat_entropy,dish_cat_entropy,retained_or_superseded,Rebuilt from training-review dish links; excluded from the non-LLM condition.
restaurant_dish,dish_flavor_div,dish_flavor_div,retained_or_superseded,Rebuilt from training-review dish links; excluded from the non-LLM condition.
restaurant_dish,dish_cuisine_breadth,dish_cuisine_breadth,retained_or_superseded,Rebuilt from training-review dish links; excluded from the non-LLM condition.
user_base,race_unknown,complete RaceBERT coverage + missingness audit,replaced_with_justification,"Exact historical RaceBERT emits one of five classes; after the repaired join there are zero missing race predictions, so this column would be constant zero."
